Portfolio Manager ID,Portfolio Manager Meter ID,Meter Type,Usage/Quantity,Usage Units,Cost ($),Year,Month
1675799,4717490,Electric - Grid,1042472.0,kWh (thousand Watt-hours),77114.0,2002,10
1675799,4717490,Electric - Grid,861352.0,kWh (thousand Watt-hours),49622.0,2002,11
1675799,4717490,Electric - Grid,927081.0,kWh (thousand Watt-hours),50185.0,2002,12
1675799,4717490,Electric - Grid,834262.0,kWh (thousand Watt-hours),35966.0,2003,01
1675799,4717490,Electric - Grid,747571.0,kWh (thousand Watt-hours),40934.0,2003,02
1675799,4717490,Electric - Grid,948430.0,kWh (thousand Watt-hours),51532.0,2003,03
1675799,4717490,Electric - Grid,871205.0,kWh (thousand Watt-hours),52917.0,2003,04
1675799,4717490,Electric - Grid,981176.0,kWh (thousand Watt-hours),56643.0,2003,05
1675799,4717490,Electric - Grid,948292.0,kWh (thousand Watt-hours),67159.0,2003,06
1675799,4717490,Electric - Grid,1098814.0,kWh (thousand Watt-hours),90800.0,2003,07
1675799,4717490,Electric - Grid,965188.0,kWh (thousand Watt-hours),89702.0,2003,08
1675799,4717490,Electric - Grid,1175498.0,kWh (thousand Watt-hours),93675.0,2003,09
1675799,4717490,Electric - Grid,973793.0,kWh (thousand Watt-hours),80809.0,2003,10
1675799,4717490,Electric - Grid,886623.0,kWh (thousand Watt-hours),43858.0,2003,11
1675799,4717490,Electric - Grid,1044368.0,kWh (thousand Watt-hours),54562.0,2003,12
1675799,4717490,Electric - Grid,813127.0,kWh (thousand Watt-hours),46217.0,2004,01
1675799,4717490,Electric - Grid,943215.0,kWh (thousand Watt-hours),51721.0,2004,02
1675799,4717490,Electric - Grid,873871.0,kWh (thousand Watt-hours),51372.0,2004,03
1675799,4717490,Electric - Grid,949908.0,kWh (thousand Watt-hours),57645.0,2004,04
1675799,4717490,Electric - Grid,725463.0,kWh (thousand Watt-hours),49246.0,2004,05
1675799,4717490,Electric - Grid,1146688.0,kWh (thousand Watt-hours),93577.0,2004,06
1675799,4717490,Electric - Grid,1204120.0,kWh (thousand Watt-hours),95976.0,2004,07
1675799,4717490,Electric - Grid,1107462.0,kWh (thousand Watt-hours),91749.0,2004,08
1675799,4717490,Electric - Grid,1128298.0,kWh (thousand Watt-hours),92325.0,2004,09
1675799,4717490,Electric - Grid,916044.0,kWh (thousand Watt-hours),79944.0,2004,10
1675799,4717490,Electric - Grid,875479.0,kWh (thousand Watt-hours),51516.0,2004,11
1675799,4717490,Electric - Grid,762921.0,kWh (thousand Watt-hours),48310.0,2004,12
1675799,4717490,Electric - Grid,688344.0,kWh (thousand Watt-hours),61620.0,2005,01
1675799,4717490,Electric - Grid,885574.0,kWh (thousand Watt-hours),74992.0,2005,02
1675799,4717490,Electric - Grid,767815.0,kWh (thousand Watt-hours),66443.0,2005,03
1675799,4717490,Electric - Grid,771708.0,kWh (thousand Watt-hours),66475.0,2005,04
1675799,4717490,Electric - Grid,935180.0,kWh (thousand Watt-hours),81642.0,2005,05
1675799,4717490,Electric - Grid,988766.0,kWh (thousand Watt-hours),85822.0,2005,06
1675799,4717490,Electric - Grid,1110085.0,kWh (thousand Watt-hours),96157.0,2005,07
1675799,4717490,Electric - Grid,1381164.0,kWh (thousand Watt-hours),115231.0,2005,08
1675799,4717490,Electric - Grid,1289658.0,kWh (thousand Watt-hours),110208.0,2005,09
1675799,4717490,Electric - Grid,843779.0,kWh (thousand Watt-hours),65639.0,2005,10
1675799,4717490,Electric - Grid,925331.0,kWh (thousand Watt-hours),85672.0,2005,11
1675799,4717490,Electric - Grid,915689.0,kWh (thousand Watt-hours),80596.0,2005,12
1675799,4717490,Electric - Grid,697499.0,kWh (thousand Watt-hours),64400.0,2006,01
1675799,4717490,Electric - Grid,880593.0,kWh (thousand Watt-hours),84073.0,2006,02
1675799,4717490,Electric - Grid,771017.0,kWh (thousand Watt-hours),74552.0,2006,03
1675799,4717490,Electric - Grid,901752.0,kWh (thousand Watt-hours),83893.0,2006,04
