Portfolio Manager ID,Portfolio Manager Meter ID,Meter Type,Usage/Quantity,Usage Units,Cost ($),Year,Month
1279464,4717391,Electric - Grid,1317953.0,kWh (thousand Watt-hours),144664.0,2002,10
1279464,4717391,Electric - Grid,1311508.0,kWh (thousand Watt-hours),111306.0,2002,11
1279464,4717391,Electric - Grid,1261487.0,kWh (thousand Watt-hours),126247.0,2002,12
1279464,4717391,Electric - Grid,1282705.0,kWh (thousand Watt-hours),143050.0,2003,01
1279464,4717391,Electric - Grid,1282050.0,kWh (thousand Watt-hours),135461.0,2003,02
1279464,4717391,Electric - Grid,1241229.0,kWh (thousand Watt-hours),142532.0,2003,03
1279464,4717391,Electric - Grid,1319994.0,kWh (thousand Watt-hours),147830.0,2003,04
1279464,4717391,Electric - Grid,1292980.0,kWh (thousand Watt-hours),154608.0,2003,05
1279464,4717391,Electric - Grid,1307617.0,kWh (thousand Watt-hours),171175.0,2003,06
1279464,4717391,Electric - Grid,1362474.0,kWh (thousand Watt-hours),167309.0,2003,07
1279464,4717391,Electric - Grid,1401386.0,kWh (thousand Watt-hours),171122.0,2003,08
1279464,4717391,Electric - Grid,1379934.0,kWh (thousand Watt-hours),179328.0,2003,09
1279464,4717391,Electric - Grid,1355670.0,kWh (thousand Watt-hours),170195.0,2003,10
1279464,4717391,Electric - Grid,1431972.0,kWh (thousand Watt-hours),164035.0,2003,11
1279464,4717391,Electric - Grid,1305299.0,kWh (thousand Watt-hours),149918.0,2003,12
1279464,4717391,Electric - Grid,1388285.0,kWh (thousand Watt-hours),160006.0,2004,01
1279464,4717391,Electric - Grid,1448715.0,kWh (thousand Watt-hours),153425.0,2004,02
1279464,4717391,Electric - Grid,1341370.0,kWh (thousand Watt-hours),159768.0,2004,03
1279464,4717391,Electric - Grid,1382925.0,kWh (thousand Watt-hours),165744.0,2004,04
1279464,4717391,Electric - Grid,1437912.0,kWh (thousand Watt-hours),176730.0,2004,05
1279464,4717391,Electric - Grid,1496390.0,kWh (thousand Watt-hours),188556.0,2004,06
1279464,4717391,Electric - Grid,1386349.0,kWh (thousand Watt-hours),173336.0,2004,07
1279464,4717391,Electric - Grid,1065496.0,kWh (thousand Watt-hours),132662.0,2004,08
1279464,4717391,Electric - Grid,1489759.0,kWh (thousand Watt-hours),161702.0,2004,09
1279464,4717391,Electric - Grid,1460749.0,kWh (thousand Watt-hours),167154.0,2004,10
1279464,4717391,Electric - Grid,1256756.0,kWh (thousand Watt-hours),141211.0,2004,11
1279464,4717391,Electric - Grid,1283839.0,kWh (thousand Watt-hours),141986.0,2004,12
1279464,4717391,Electric - Grid,1275037.0,kWh (thousand Watt-hours),146676.0,2005,01
1279464,4717391,Electric - Grid,1064624.0,kWh (thousand Watt-hours),128639.0,2005,02
1279464,4717391,Electric - Grid,1286885.0,kWh (thousand Watt-hours),148675.0,2005,03
1279464,4717391,Electric - Grid,1173383.0,kWh (thousand Watt-hours),136767.0,2005,04
1279464,4717391,Electric - Grid,1149087.0,kWh (thousand Watt-hours),142914.0,2005,05
1279464,4717391,Electric - Grid,1060758.0,kWh (thousand Watt-hours),133810.0,2005,06
1279464,4717391,Electric - Grid,1001372.0,kWh (thousand Watt-hours),123532.0,2005,07
1279464,4717391,Electric - Grid,1098409.0,kWh (thousand Watt-hours),145398.0,2005,08
1279464,4717391,Electric - Grid,1157735.0,kWh (thousand Watt-hours),150918.0,2005,09
1279464,4717391,Electric - Grid,1219488.0,kWh (thousand Watt-hours),145439.0,2005,10
1279464,4717391,Electric - Grid,1182132.0,kWh (thousand Watt-hours),133416.0,2005,11
1279464,4717391,Electric - Grid,1176537.0,kWh (thousand Watt-hours),128022.0,2005,12
1279464,4717391,Electric - Grid,1124330.0,kWh (thousand Watt-hours),120274.0,2006,01
1279464,4717391,Electric - Grid,1084017.0,kWh (thousand Watt-hours),121467.0,2006,02
1279464,4717391,Electric - Grid,1247897.0,kWh (thousand Watt-hours),133191.0,2006,03
1279464,4717391,Electric - Grid,1198807.0,kWh (thousand Watt-hours),130641.0,2006,04
1279464,4717391,Electric - Grid,1355094.0,kWh (thousand Watt-hours),166637.0,2006,05
1279464,4717391,Electric - Grid,1372240.0,kWh (thousand Watt-hours),167946.0,2006,06
1279464,4717391,Electric - Grid,1298167.0,kWh (thousand Watt-hours),162808.0,2006,07
1279464,4717391,Electric - Grid,1314471.0,kWh (thousand Watt-hours),163983.0,2006,08
1279464,4717391,Electric - Grid,1205042.0,kWh (thousand Watt-hours),130317.0,2006,09
1279464,4717391,Electric - Grid,1293994.0,kWh (thousand Watt-hours),154669.0,2006,10
1279464,4717391,Electric - Grid,1223636.0,kWh (thousand Watt-hours),134913.0,2006,11
1279464,4717391,Electric - Grid,1166032.0,kWh (thousand Watt-hours),122946.0,2006,12
1279464,4717391,Electric - Grid,1182409.0,kWh (thousand Watt-hours),102352.0,2007,01
1279464,4717391,Electric - Grid,1114462.0,kWh (thousand Watt-hours),117942.0,2007,02
1279464,4717391,Electric - Grid,1213178.0,kWh (thousand Watt-hours),115096.0,2007,03
1279464,4717391,Electric - Grid,1137506.0,kWh (thousand Watt-hours),116911.0,2007,04
1279464,4717391,Electric - Grid,1228234.0,kWh (thousand Watt-hours),155614.0,2007,05
