Portfolio Manager ID,Portfolio Manager Meter ID,Meter Type,Usage/Quantity,Usage Units,Cost ($),Year,Month
1283331,4717353,Electric - Grid,1115200.0,kWh (thousand Watt-hours),70759.0,2002,10
1283331,4717353,Electric - Grid,896200.0,kWh (thousand Watt-hours),53773.0,2002,11
1283331,4717353,Electric - Grid,1160500.0,kWh (thousand Watt-hours),65001.0,2002,12
1283331,4717353,Electric - Grid,1086200.0,kWh (thousand Watt-hours),61601.0,2003,01
1283331,4717353,Electric - Grid,963900.0,kWh (thousand Watt-hours),55568.0,2003,02
1283331,4717353,Electric - Grid,822100.0,kWh (thousand Watt-hours),49344.0,2003,03
1283331,4717353,Electric - Grid,843500.0,kWh (thousand Watt-hours),48773.0,2003,04
1283331,4717353,Electric - Grid,991400.0,kWh (thousand Watt-hours),57963.0,2003,05
1283331,4717353,Electric - Grid,892300.0,kWh (thousand Watt-hours),58661.0,2003,06
1283331,4717353,Electric - Grid,990600.0,kWh (thousand Watt-hours),64176.0,2003,07
1283331,4717353,Electric - Grid,1187600.0,kWh (thousand Watt-hours),73645.0,2003,08
1283331,4717353,Electric - Grid,1068400.0,kWh (thousand Watt-hours),67007.0,2003,09
1283331,4717353,Electric - Grid,1102500.0,kWh (thousand Watt-hours),68304.0,2003,10
1283331,4717353,Electric - Grid,862600.0,kWh (thousand Watt-hours),49892.0,2003,11
1283331,4717353,Electric - Grid,970200.0,kWh (thousand Watt-hours),56956.0,2003,12
1283331,4717353,Electric - Grid,899300.0,kWh (thousand Watt-hours),53692.0,2004,01
1283331,4717353,Electric - Grid,1006800.0,kWh (thousand Watt-hours),56972.0,2004,02
1283331,4717353,Electric - Grid,781000.0,kWh (thousand Watt-hours),48204.0,2004,03
1283331,4717353,Electric - Grid,842000.0,kWh (thousand Watt-hours),49658.0,2004,04
1283331,4717353,Electric - Grid,812200.0,kWh (thousand Watt-hours),49939.0,2004,05
1283331,4717353,Electric - Grid,910500.0,kWh (thousand Watt-hours),60095.0,2004,06
1283331,4717353,Electric - Grid,1039500.0,kWh (thousand Watt-hours),66272.0,2004,07
1283331,4717353,Electric - Grid,1002400.0,kWh (thousand Watt-hours),63585.0,2004,08
1283331,4717353,Electric - Grid,1070300.0,kWh (thousand Watt-hours),65796.0,2004,09
1283331,4717353,Electric - Grid,812300.0,kWh (thousand Watt-hours),53603.0,2004,10
1283331,4717353,Electric - Grid,669000.0,kWh (thousand Watt-hours),41785.0,2004,11
1283331,4717353,Electric - Grid,573000.0,kWh (thousand Watt-hours),38502.0,2004,12
1283331,4717353,Electric - Grid,687800.0,kWh (thousand Watt-hours),43355.0,2005,01
1283331,4717353,Electric - Grid,553300.0,kWh (thousand Watt-hours),36831.0,2005,02
1283331,4717353,Electric - Grid,567700.0,kWh (thousand Watt-hours),36805.0,2005,03
1283331,4717353,Electric - Grid,587900.0,kWh (thousand Watt-hours),40850.0,2005,04
1283331,4717353,Electric - Grid,728800.0,kWh (thousand Watt-hours),57914.0,2005,05
1283331,4717353,Electric - Grid,711700.0,kWh (thousand Watt-hours),54981.0,2005,06
1283331,4717353,Electric - Grid,960400.0,kWh (thousand Watt-hours),67947.0,2005,07
1283331,4717353,Electric - Grid,825600.0,kWh (thousand Watt-hours),63146.0,2005,08
1283331,4717353,Electric - Grid,858500.0,kWh (thousand Watt-hours),63994.0,2005,09
1283331,4717353,Electric - Grid,693900.0,kWh (thousand Watt-hours),57810.0,2005,10
1283331,4717353,Electric - Grid,641000.0,kWh (thousand Watt-hours),44583.0,2005,11
1283331,4717353,Electric - Grid,667700.0,kWh (thousand Watt-hours),44718.0,2005,12
1283331,4717353,Electric - Grid,750600.0,kWh (thousand Watt-hours),46981.0,2006,01
1283331,4717353,Electric - Grid,542100.0,kWh (thousand Watt-hours),39918.0,2006,02
1283331,4717353,Electric - Grid,590400.0,kWh (thousand Watt-hours),43510.0,2006,03
1283331,4717353,Electric - Grid,582000.0,kWh (thousand Watt-hours),44599.0,2006,04
1283331,4717353,Electric - Grid,769100.0,kWh (thousand Watt-hours),71120.0,2006,05
1283331,4717353,Electric - Grid,845700.0,kWh (thousand Watt-hours),76407.0,2006,06
1283331,4717353,Electric - Grid,977600.0,kWh (thousand Watt-hours),84046.0,2006,07
1283331,4717353,Electric - Grid,877200.0,kWh (thousand Watt-hours),78401.0,2006,08
1283331,4717353,Electric - Grid,686700.0,kWh (thousand Watt-hours),65011.0,2006,09
1283331,4717353,Electric - Grid,668100.0,kWh (thousand Watt-hours),63670.0,2006,10
1283331,4717353,Electric - Grid,627100.0,kWh (thousand Watt-hours),54520.0,2006,11
1283331,4717353,Electric - Grid,590100.0,kWh (thousand Watt-hours),47285.0,2006,12
1283331,4717353,Electric - Grid,627000.0,kWh (thousand Watt-hours),50364.0,2007,01
1283331,4717353,Electric - Grid,640900.0,kWh (thousand Watt-hours),50213.0,2007,02
1283331,4717353,Electric - Grid,595000.0,kWh (thousand Watt-hours),50209.0,2007,03
1283331,4717353,Electric - Grid,583400.0,kWh (thousand Watt-hours),51414.0,2007,04
1283331,4717353,Electric - Grid,655700.0,kWh (thousand Watt-hours),61778.0,2007,05
1283331,4717353,Electric - Grid,646500.0,kWh (thousand Watt-hours),61230.0,2007,06
1283331,4717353,Electric - Grid,811100.0,kWh (thousand Watt-hours),81156.0,2007,07
1283331,4717353,Electric - Grid,768600.0,kWh (thousand Watt-hours),78979.0,2007,08
1283331,4717353,Electric - Grid,730000.0,kWh (thousand Watt-hours),75666.0,2007,09
1283331,4717353,Electric - Grid,597900.0,kWh (thousand Watt-hours),65445.0,2007,10
