Portfolio Manager ID,Portfolio Manager Meter ID,Meter Type,Usage/Quantity,Usage Units,Cost ($),Year,Month
2414220,4718203,Electric - Grid,224829.0,kWh (thousand Watt-hours),25463.0,2002,10
2414220,4718203,Electric - Grid,269862.0,kWh (thousand Watt-hours),25645.0,2002,11
2414220,4718203,Electric - Grid,344821.0,kWh (thousand Watt-hours),32257.0,2002,12
2414220,4718203,Electric - Grid,364731.0,kWh (thousand Watt-hours),33621.0,2003,01
2414220,4718203,Electric - Grid,359850.0,kWh (thousand Watt-hours),33982.0,2003,02
2414220,4718203,Electric - Grid,321561.0,kWh (thousand Watt-hours),31775.0,2003,03
2414220,4718203,Electric - Grid,261292.0,kWh (thousand Watt-hours),27274.0,2003,04
2414220,4718203,Electric - Grid,258772.0,kWh (thousand Watt-hours),26920.0,2003,05
2414220,4718203,Electric - Grid,263167.0,kWh (thousand Watt-hours),27570.0,2003,06
2414220,4718203,Electric - Grid,391018.0,kWh (thousand Watt-hours),36711.0,2003,07
2414220,4718203,Electric - Grid,325053.0,kWh (thousand Watt-hours),31582.0,2003,08
2414220,4718203,Electric - Grid,246204.0,kWh (thousand Watt-hours),26020.0,2003,09
2414220,4718203,Electric - Grid,246696.0,kWh (thousand Watt-hours),25804.0,2003,10
2414220,4718203,Electric - Grid,258533.0,kWh (thousand Watt-hours),26660.0,2003,11
2414220,4718203,Electric - Grid,334804.0,kWh (thousand Watt-hours),30477.0,2003,12
2414220,4718203,Electric - Grid,356329.0,kWh (thousand Watt-hours),33231.0,2004,01
2414220,4718203,Electric - Grid,346201.0,kWh (thousand Watt-hours),32699.0,2004,02
2414220,4718203,Electric - Grid,307378.0,kWh (thousand Watt-hours),30567.0,2004,03
2414220,4718203,Electric - Grid,290500.0,kWh (thousand Watt-hours),30370.0,2004,04
2414220,4718203,Electric - Grid,243588.0,kWh (thousand Watt-hours),26332.0,2004,05
2414220,4718203,Electric - Grid,259080.0,kWh (thousand Watt-hours),29681.0,2004,06
2414220,4718203,Electric - Grid,301655.0,kWh (thousand Watt-hours),32484.0,2004,07
2414220,4718203,Electric - Grid,284755.0,kWh (thousand Watt-hours),31253.0,2004,08
2414220,4718203,Electric - Grid,272964.0,kWh (thousand Watt-hours),31215.0,2004,09
2414220,4718203,Electric - Grid,223955.0,kWh (thousand Watt-hours),24040.0,2004,10
2414220,4718203,Electric - Grid,269105.0,kWh (thousand Watt-hours),27917.0,2004,11
2414220,4718203,Electric - Grid,377910.0,kWh (thousand Watt-hours),35119.0,2004,12
2414220,4718203,Electric - Grid,373358.0,kWh (thousand Watt-hours),34488.0,2005,01
2414220,4718203,Electric - Grid,341418.0,kWh (thousand Watt-hours),33909.0,2005,02
2414220,4718203,Electric - Grid,365156.0,kWh (thousand Watt-hours),34865.0,2005,03
2414220,4718203,Electric - Grid,231758.0,kWh (thousand Watt-hours),25470.0,2005,04
2414220,4718203,Electric - Grid,231805.0,kWh (thousand Watt-hours),24067.0,2005,05
2414220,4718203,Electric - Grid,333387.0,kWh (thousand Watt-hours),42558.0,2005,06
2414220,4718203,Electric - Grid,366550.0,kWh (thousand Watt-hours),50304.0,2005,07
2414220,4718203,Electric - Grid,339404.0,kWh (thousand Watt-hours),50975.0,2005,08
2414220,4718203,Electric - Grid,276209.0,kWh (thousand Watt-hours),49826.0,2005,09
2414220,4718203,Electric - Grid,220507.0,kWh (thousand Watt-hours),40864.0,2005,10
2414220,4718203,Electric - Grid,275172.0,kWh (thousand Watt-hours),38969.0,2005,11
2414220,4718203,Electric - Grid,329365.0,kWh (thousand Watt-hours),53632.0,2005,12
2414220,4718203,Electric - Grid,325964.0,kWh (thousand Watt-hours),40785.0,2006,01
2414220,4718203,Electric - Grid,326186.0,kWh (thousand Watt-hours),37180.0,2006,02
2414220,4718203,Electric - Grid,316830.0,kWh (thousand Watt-hours),35383.0,2006,03
2414220,4718203,Electric - Grid,231283.0,kWh (thousand Watt-hours),29151.0,2006,04
2414220,4718203,Electric - Grid,219043.0,kWh (thousand Watt-hours),26709.0,2006,05
2414220,4718203,Electric - Grid,278509.0,kWh (thousand Watt-hours),41018.0,2006,06
2414220,4718203,Electric - Grid,278235.0,kWh (thousand Watt-hours),41000.0,2006,07
2414220,4718203,Electric - Grid,297866.0,kWh (thousand Watt-hours),43460.0,2006,08
2414220,4718203,Electric - Grid,210251.0,kWh (thousand Watt-hours),31337.0,2006,09
2414220,4718203,Electric - Grid,207644.0,kWh (thousand Watt-hours),30745.0,2006,10
2414220,4718203,Electric - Grid,252926.0,kWh (thousand Watt-hours),33952.0,2006,11
2414220,4718203,Electric - Grid,255794.0,kWh (thousand Watt-hours),35741.0,2006,12
2414220,4718203,Electric - Grid,295134.0,kWh (thousand Watt-hours),40384.0,2007,01
2414220,4718203,Electric - Grid,372238.0,kWh (thousand Watt-hours),49518.0,2007,02
2414220,4718203,Electric - Grid,330938.0,kWh (thousand Watt-hours),45547.0,2007,03
2414220,4718203,Electric - Grid,256472.0,kWh (thousand Watt-hours),37542.0,2007,04
2414220,4718203,Electric - Grid,267403.0,kWh (thousand Watt-hours),39944.0,2007,05
2414220,4718203,Electric - Grid,270327.0,kWh (thousand Watt-hours),40492.0,2007,06
2414220,4718203,Electric - Grid,291208.0,kWh (thousand Watt-hours),43035.0,2007,07
2414220,4718203,Electric - Grid,343224.0,kWh (thousand Watt-hours),47849.0,2007,08
2414220,4718203,Electric - Grid,235188.0,kWh (thousand Watt-hours),34662.0,2007,09
2414220,4718203,Electric - Grid,253220.0,kWh (thousand Watt-hours),37503.0,2007,10
2414220,4718203,Electric - Grid,272270.0,kWh (thousand Watt-hours),37793.0,2007,11
2414220,4718203,Electric - Grid,325445.0,kWh (thousand Watt-hours),44466.0,2007,12
2414220,4718203,Electric - Grid,318312.0,kWh (thousand Watt-hours),42484.0,2008,01
2414220,4718203,Electric - Grid,327217.0,kWh (thousand Watt-hours),43121.0,2008,02
2414220,4718203,Electric - Grid,317224.0,kWh (thousand Watt-hours),41612.0,2008,03
2414220,4718203,Electric - Grid,271240.0,kWh (thousand Watt-hours),37793.0,2008,04
2414220,4718203,Electric - Grid,223798.0,kWh (thousand Watt-hours),32359.0,2008,05
2414220,4718203,Electric - Grid,283140.0,kWh (thousand Watt-hours),41059.0,2008,06
2414220,4718203,Electric - Grid,323521.0,kWh (thousand Watt-hours),45089.0,2008,07
2414220,4718203,Electric - Grid,290769.0,kWh (thousand Watt-hours),41502.0,2008,08
2414220,4718203,Electric - Grid,270028.0,kWh (thousand Watt-hours),38369.0,2008,09
2414220,4718203,Electric - Grid,241546.0,kWh (thousand Watt-hours),32843.0,2008,10
2414220,4718203,Electric - Grid,273409.0,kWh (thousand Watt-hours),36969.0,2008,11
2414220,4718203,Electric - Grid,352304.0,kWh (thousand Watt-hours),46162.0,2008,12
2414220,4718203,Electric - Grid,349929.0,kWh (thousand Watt-hours),45690.0,2009,01
2414220,4718203,Electric - Grid,321668.0,kWh (thousand Watt-hours),43048.0,2009,02
2414220,4718203,Electric - Grid,341621.0,kWh (thousand Watt-hours),44642.0,2009,03
2414220,4718203,Electric - Grid,235498.0,kWh (thousand Watt-hours),32964.0,2009,04
2414220,4718203,Electric - Grid,229272.0,kWh (thousand Watt-hours),33534.0,2009,05
2414220,4718203,Electric - Grid,252778.0,kWh (thousand Watt-hours),36661.0,2009,06
2414220,4718203,Electric - Grid,282325.0,kWh (thousand Watt-hours),41336.0,2009,07
2414220,4718203,Electric - Grid,302353.0,kWh (thousand Watt-hours),43982.0,2009,08
2414220,4718203,Electric - Grid,237998.0,kWh (thousand Watt-hours),35024.0,2009,09
2414220,4718203,Electric - Grid,234999.0,kWh (thousand Watt-hours),33693.0,2009,10
2414220,4718203,Electric - Grid,245704.0,kWh (thousand Watt-hours),34935.0,2009,11
2414220,4718203,Electric - Grid,348129.0,kWh (thousand Watt-hours),47040.0,2009,12
2414220,4718203,Electric - Grid,324459.0,kWh (thousand Watt-hours),47193.0,2010,01
2414220,4718203,Electric - Grid,328271.0,kWh (thousand Watt-hours),48119.0,2010,02
2414220,4718203,Electric - Grid,301744.0,kWh (thousand Watt-hours),44581.0,2010,03
2414220,4718203,Electric - Grid,254544.0,kWh (thousand Watt-hours),39882.0,2010,04
2414220,4718203,Electric - Grid,233502.0,kWh (thousand Watt-hours),36524.0,2010,05
2414220,4718203,Electric - Grid,326309.0,kWh (thousand Watt-hours),46745.0,2010,06
2414220,4718203,Electric - Grid,334144.0,kWh (thousand Watt-hours),50054.0,2010,07
2414220,4718203,Electric - Grid,281009.0,kWh (thousand Watt-hours),43437.0,2010,08
2414220,4718203,Electric - Grid,237257.0,kWh (thousand Watt-hours),38210.0,2010,09
2414220,4718203,Electric - Grid,217850.0,kWh (thousand Watt-hours),35164.0,2010,10
2414220,4718203,Electric - Grid,233745.0,kWh (thousand Watt-hours),36356.0,2010,11
2414220,4718203,Electric - Grid,329399.0,kWh (thousand Watt-hours),47010.0,2010,12
2414220,4718203,Electric - Grid,301354.0,kWh (thousand Watt-hours),44961.0,2011,01
2414220,4718203,Electric - Grid,345422.0,kWh (thousand Watt-hours),48892.0,2011,02
