Portfolio Manager ID,Portfolio Manager Meter ID,Meter Type,Usage/Quantity,Usage Units,Cost ($),Year,Month
2630049,5872866,Potable: Mixed Indoor/Outdoor,8849.0,Gallons,0.0,2007,01
2630049,5872866,Potable: Mixed Indoor/Outdoor,12168.0,Gallons,0.0,2007,02
2630049,5872866,Potable: Mixed Indoor/Outdoor,8849.0,Gallons,0.0,2007,03
2630049,5872866,Potable: Mixed Indoor/Outdoor,8849.0,Gallons,0.0,2007,04
2630049,5872866,Potable: Mixed Indoor/Outdoor,43141.0,Gallons,0.0,2007,05
2630049,5872866,Potable: Mixed Indoor/Outdoor,176987.0,Gallons,0.0,2007,06
2630049,5872866,Potable: Mixed Indoor/Outdoor,266587.0,Gallons,0.0,2007,07
2630049,5872866,Potable: Mixed Indoor/Outdoor,314152.0,Gallons,0.0,2007,08
2630049,5872866,Potable: Mixed Indoor/Outdoor,122785.0,Gallons,0.0,2007,09
2630049,5872866,Potable: Mixed Indoor/Outdoor,25984.0,Gallons,0.0,2007,10
2630049,5872866,Potable: Mixed Indoor/Outdoor,25984.0,Gallons,0.0,2007,11
2630049,5872866,Potable: Mixed Indoor/Outdoor,25984.0,Gallons,0.0,2007,12
2630049,5872866,Potable: Mixed Indoor/Outdoor,25984.0,Gallons,0.0,2008,01
2630049,5872866,Potable: Mixed Indoor/Outdoor,25984.0,Gallons,0.0,2008,02
2630049,5872866,Potable: Mixed Indoor/Outdoor,25984.0,Gallons,0.0,2008,03
2630049,5872866,Potable: Mixed Indoor/Outdoor,25984.0,Gallons,0.0,2008,04
2630049,5872866,Potable: Mixed Indoor/Outdoor,25984.0,Gallons,0.0,2008,05
2630049,5872866,Potable: Mixed Indoor/Outdoor,25984.0,Gallons,0.0,2008,06
2630049,5872866,Potable: Mixed Indoor/Outdoor,25984.0,Gallons,0.0,2008,07
2630049,5872866,Potable: Mixed Indoor/Outdoor,25984.0,Gallons,0.0,2008,08
2630049,5872866,Potable: Mixed Indoor/Outdoor,25984.0,Gallons,0.0,2008,09
