Portfolio Manager ID,Portfolio Manager Meter ID,Meter Type,Usage/Quantity,Usage Units,Cost ($),Year,Month
18001,4718417,Electric - Grid,349600.0,kWh (thousand Watt-hours),26157.0,2002,10
18001,4718417,Electric - Grid,279200.0,kWh (thousand Watt-hours),24248.0,2002,11
18001,4718417,Electric - Grid,342400.0,kWh (thousand Watt-hours),25900.0,2002,12
18001,4718417,Electric - Grid,291600.0,kWh (thousand Watt-hours),23578.0,2003,01
18001,4718417,Electric - Grid,286800.0,kWh (thousand Watt-hours),22344.0,2003,02
18001,4718417,Electric - Grid,293200.0,kWh (thousand Watt-hours),24040.0,2003,03
18001,4718417,Electric - Grid,333200.0,kWh (thousand Watt-hours),26500.0,2003,04
18001,4718417,Electric - Grid,423200.0,kWh (thousand Watt-hours),31007.0,2003,05
18001,4718417,Electric - Grid,538000.0,kWh (thousand Watt-hours),36460.0,2003,06
18001,4718417,Electric - Grid,616000.0,kWh (thousand Watt-hours),34899.0,2003,07
18001,4718417,Electric - Grid,515200.0,kWh (thousand Watt-hours),35312.0,2003,08
18001,4718417,Electric - Grid,550800.0,kWh (thousand Watt-hours),37339.0,2003,09
18001,4718417,Electric - Grid,351200.0,kWh (thousand Watt-hours),30012.0,2003,10
18001,4718417,Electric - Grid,337600.0,kWh (thousand Watt-hours),27386.0,2003,11
18001,4718417,Electric - Grid,380400.0,kWh (thousand Watt-hours),31195.0,2003,12
18001,4718417,Electric - Grid,367200.0,kWh (thousand Watt-hours),31045.0,2004,01
18001,4718417,Electric - Grid,314400.0,kWh (thousand Watt-hours),27150.0,2004,02
18001,4718417,Electric - Grid,342400.0,kWh (thousand Watt-hours),28640.0,2004,03
18001,4718417,Electric - Grid,326400.0,kWh (thousand Watt-hours),30883.0,2004,04
18001,4718417,Electric - Grid,404400.0,kWh (thousand Watt-hours),35366.0,2004,05
18001,4718417,Electric - Grid,546800.0,kWh (thousand Watt-hours),41350.0,2004,06
18001,4718417,Electric - Grid,496400.0,kWh (thousand Watt-hours),39089.0,2004,07
18001,4718417,Electric - Grid,552400.0,kWh (thousand Watt-hours),41383.0,2004,08
18001,4718417,Electric - Grid,460000.0,kWh (thousand Watt-hours),36574.0,2004,09
18001,4718417,Electric - Grid,374000.0,kWh (thousand Watt-hours),30294.0,2004,10
18001,4718417,Electric - Grid,278400.0,kWh (thousand Watt-hours),26558.0,2004,11
18001,4718417,Electric - Grid,285600.0,kWh (thousand Watt-hours),26333.0,2004,12
18001,4718417,Electric - Grid,253200.0,kWh (thousand Watt-hours),22466.0,2005,01
18001,4718417,Electric - Grid,251200.0,kWh (thousand Watt-hours),25106.0,2005,02
18001,4718417,Electric - Grid,295200.0,kWh (thousand Watt-hours),25965.0,2005,03
18001,4718417,Electric - Grid,300000.0,kWh (thousand Watt-hours),26079.0,2005,04
18001,4718417,Electric - Grid,377200.0,kWh (thousand Watt-hours),31871.0,2005,05
18001,4718417,Electric - Grid,552400.0,kWh (thousand Watt-hours),39418.0,2005,06
18001,4718417,Electric - Grid,482400.0,kWh (thousand Watt-hours),37380.0,2005,07
18001,4718417,Electric - Grid,544400.0,kWh (thousand Watt-hours),39107.0,2005,08
18001,4718417,Electric - Grid,468000.0,kWh (thousand Watt-hours),35483.0,2005,09
18001,4718417,Electric - Grid,308400.0,kWh (thousand Watt-hours),25154.0,2005,10
18001,4718417,Electric - Grid,328000.0,kWh (thousand Watt-hours),29041.0,2005,11
18001,4718417,Electric - Grid,256400.0,kWh (thousand Watt-hours),25773.0,2005,12
18001,4718417,Electric - Grid,238400.0,kWh (thousand Watt-hours),21456.0,2006,01
18001,4718417,Electric - Grid,245600.0,kWh (thousand Watt-hours),25287.0,2006,02
18001,4718417,Electric - Grid,300800.0,kWh (thousand Watt-hours),29046.0,2006,03
18001,4718417,Electric - Grid,362000.0,kWh (thousand Watt-hours),32185.0,2006,04
18001,4718417,Electric - Grid,426800.0,kWh (thousand Watt-hours),36886.0,2006,05
18001,4718417,Electric - Grid,478000.0,kWh (thousand Watt-hours),39556.0,2006,06
18001,4718417,Electric - Grid,470800.0,kWh (thousand Watt-hours),39165.0,2006,07
18001,4718417,Electric - Grid,514000.0,kWh (thousand Watt-hours),40389.0,2006,08
18001,4718417,Electric - Grid,410800.0,kWh (thousand Watt-hours),36016.0,2006,09
18001,4718417,Electric - Grid,338800.0,kWh (thousand Watt-hours),30706.0,2006,10
18001,4718417,Electric - Grid,293200.0,kWh (thousand Watt-hours),27065.0,2006,11
18001,4718417,Electric - Grid,275600.0,kWh (thousand Watt-hours),25154.0,2006,12
18001,4718417,Electric - Grid,254000.0,kWh (thousand Watt-hours),23284.0,2007,01
18001,4718417,Electric - Grid,293600.0,kWh (thousand Watt-hours),26991.0,2007,02
18001,4718417,Electric - Grid,328800.0,kWh (thousand Watt-hours),27283.0,2007,03
18001,4718417,Electric - Grid,276000.0,kWh (thousand Watt-hours),27607.0,2007,04
18001,4718417,Electric - Grid,401200.0,kWh (thousand Watt-hours),33183.0,2007,05
18001,4718417,Electric - Grid,450400.0,kWh (thousand Watt-hours),35230.0,2007,06
18001,4718417,Electric - Grid,516800.0,kWh (thousand Watt-hours),39456.0,2007,07
18001,4718417,Electric - Grid,499200.0,kWh (thousand Watt-hours),38267.0,2007,08
18001,4718417,Electric - Grid,462400.0,kWh (thousand Watt-hours),37720.0,2007,09
18001,4718417,Electric - Grid,414800.0,kWh (thousand Watt-hours),30416.0,2007,10
18001,4718417,Electric - Grid,328000.0,kWh (thousand Watt-hours),28488.0,2007,11
