Portfolio Manager ID,Portfolio Manager Meter ID,Meter Type,Usage/Quantity,Usage Units,Cost ($),Year,Month
2629925,4717395,Natural Gas,312161.0,cf (cubic feet),1771.0,2002,10
2629925,4717395,Natural Gas,858256.0,cf (cubic feet),5322.0,2002,11
2629925,4717395,Natural Gas,1091929.0,cf (cubic feet),6850.0,2002,12
2629925,4717395,Natural Gas,846519.0,cf (cubic feet),5681.0,2003,01
2629925,4717395,Natural Gas,1154106.0,cf (cubic feet),8565.0,2003,02
2629925,4717395,Natural Gas,805896.0,cf (cubic feet),6668.0,2003,03
2629925,4717395,Natural Gas,889296.0,cf (cubic feet),6008.0,2003,04
2629925,4717395,Natural Gas,900759.0,cf (cubic feet),6448.0,2003,05
2629925,4717395,Natural Gas,668981.0,cf (cubic feet),5230.0,2003,06
2629925,4717395,Natural Gas,554607.0,cf (cubic feet),4164.0,2003,07
2629925,4717395,Natural Gas,545779.0,cf (cubic feet),3894.0,2003,08
2629925,4717395,Natural Gas,834103.0,cf (cubic feet),6023.0,2003,09
2629925,4717395,Natural Gas,1010802.0,cf (cubic feet),6884.0,2003,10
2629925,4717395,Natural Gas,1241629.0,cf (cubic feet),8623.0,2003,11
2629925,4717395,Natural Gas,1487980.0,cf (cubic feet),10711.0,2003,12
2629925,4717395,Natural Gas,1516826.0,cf (cubic feet),11513.0,2004,01
2629925,4717395,Natural Gas,1347678.0,cf (cubic feet),9919.0,2004,02
2629925,4717395,Natural Gas,1194749.0,cf (cubic feet),8509.0,2004,03
2629925,4717395,Natural Gas,1046818.0,cf (cubic feet),7770.0,2004,04
2629925,4717395,Natural Gas,992213.0,cf (cubic feet),7892.0,2004,05
2629925,4717395,Natural Gas,880857.0,cf (cubic feet),7407.0,2004,06
2629925,4717395,Natural Gas,911004.0,cf (cubic feet),7095.0,2004,07
2629925,4717395,Natural Gas,763295.0,cf (cubic feet),5957.0,2004,08
2629925,4717395,Natural Gas,1002786.0,cf (cubic feet),7047.0,2004,09
2629925,4717395,Natural Gas,1401359.0,cf (cubic feet),10951.0,2004,10
2629925,4717395,Natural Gas,1315611.0,cf (cubic feet),12566.0,2004,11
2629925,4717395,Natural Gas,1722332.0,cf (cubic feet),14694.0,2004,12
2629925,4717395,Natural Gas,1198707.0,cf (cubic feet),9849.0,2005,01
2629925,4717395,Natural Gas,1073305.0,cf (cubic feet),9053.0,2005,02
2629925,4717395,Natural Gas,1496807.0,cf (cubic feet),10370.0,2005,03
2629925,4717395,Natural Gas,1006766.0,cf (cubic feet),9381.0,2005,04
2629925,4717395,Natural Gas,1048714.0,cf (cubic feet),9572.0,2005,05
2629925,4717395,Natural Gas,1029461.0,cf (cubic feet),8737.0,2005,06
2629925,4717395,Natural Gas,804147.0,cf (cubic feet),7232.0,2005,07
2629925,4717395,Natural Gas,900645.0,cf (cubic feet),8685.0,2005,08
2629925,4717395,Natural Gas,890997.0,cf (cubic feet),10775.0,2005,09
2629925,4717395,Natural Gas,857297.0,cf (cubic feet),11511.0,2005,10
2629925,4717395,Natural Gas,986150.0,cf (cubic feet),13267.0,2005,11
2629925,4717395,Natural Gas,1282146.0,cf (cubic feet),15577.0,2005,12
2629925,4717395,Natural Gas,1171468.0,cf (cubic feet),13706.0,2006,01
2629925,4717395,Natural Gas,1435794.0,cf (cubic feet),14718.0,2006,02
2629925,4717395,Natural Gas,1313475.0,cf (cubic feet),13084.0,2006,03
2629925,4717395,Natural Gas,1140799.0,cf (cubic feet),10429.0,2006,04
2629925,4717395,Natural Gas,968836.0,cf (cubic feet),8744.0,2006,05
2629925,4717395,Natural Gas,754755.0,cf (cubic feet),6145.0,2006,06
2629925,4717395,Natural Gas,710963.0,cf (cubic feet),5815.0,2006,07
2629925,4717395,Natural Gas,899190.0,cf (cubic feet),7873.0,2006,08
2629925,4717395,Natural Gas,996287.0,cf (cubic feet),8629.0,2006,09
2629925,4717395,Natural Gas,1045776.0,cf (cubic feet),7341.0,2006,10
2629925,4717395,Natural Gas,1110258.0,cf (cubic feet),10891.0,2006,11
2629925,4717395,Natural Gas,1595332.0,cf (cubic feet),15338.0,2006,12
