Portfolio Manager ID,Portfolio Manager Meter ID,Meter Type,Usage/Quantity,Usage Units,Cost ($),Year,Month
2630237,4718711,Electric - Grid,22000.0,kWh (thousand Watt-hours),1268.0,2002,10
2630237,4718711,Electric - Grid,18640.0,kWh (thousand Watt-hours),1097.0,2002,11
2630237,4718711,Electric - Grid,19758.0,kWh (thousand Watt-hours),1157.0,2002,12
2630237,4718711,Electric - Grid,18960.0,kWh (thousand Watt-hours),1099.0,2003,01
2630237,4718711,Electric - Grid,22560.0,kWh (thousand Watt-hours),1255.0,2003,02
2630237,4718711,Electric - Grid,25080.0,kWh (thousand Watt-hours),1378.0,2003,03
2630237,4718711,Electric - Grid,20880.0,kWh (thousand Watt-hours),1215.0,2003,04
2630237,4718711,Electric - Grid,24600.0,kWh (thousand Watt-hours),1411.0,2003,05
2630237,4718711,Electric - Grid,28080.0,kWh (thousand Watt-hours),1630.0,2003,06
2630237,4718711,Electric - Grid,26160.0,kWh (thousand Watt-hours),1528.0,2003,07
2630237,4718711,Electric - Grid,28440.0,kWh (thousand Watt-hours),1647.0,2003,08
2630237,4718711,Electric - Grid,23040.0,kWh (thousand Watt-hours),1338.0,2003,09
2630237,4718711,Electric - Grid,23640.0,kWh (thousand Watt-hours),1322.0,2003,10
2630237,4718711,Electric - Grid,16000.0,kWh (thousand Watt-hours),1329.0,2003,11
2630237,4718711,Electric - Grid,26760.0,kWh (thousand Watt-hours),1468.0,2003,12
2630237,4718711,Electric - Grid,24960.0,kWh (thousand Watt-hours),1381.0,2004,01
2630237,4718711,Electric - Grid,23160.0,kWh (thousand Watt-hours),1337.0,2004,02
2630237,4718711,Electric - Grid,27480.0,kWh (thousand Watt-hours),1478.0,2004,03
2630237,4718711,Electric - Grid,25200.0,kWh (thousand Watt-hours),1453.0,2004,04
2630237,4718711,Electric - Grid,24360.0,kWh (thousand Watt-hours),1441.0,2004,05
2630237,4718711,Electric - Grid,25920.0,kWh (thousand Watt-hours),1541.0,2004,06
2630237,4718711,Electric - Grid,27840.0,kWh (thousand Watt-hours),1611.0,2004,07
2630237,4718711,Electric - Grid,27720.0,kWh (thousand Watt-hours),1625.0,2004,08
2630237,4718711,Electric - Grid,25680.0,kWh (thousand Watt-hours),1492.0,2004,09
2630237,4718711,Electric - Grid,22320.0,kWh (thousand Watt-hours),1268.0,2004,10
2630237,4718711,Electric - Grid,23520.0,kWh (thousand Watt-hours),1316.0,2004,11
2630237,4718711,Electric - Grid,27960.0,kWh (thousand Watt-hours),1541.0,2004,12
2630237,4718711,Electric - Grid,23640.0,kWh (thousand Watt-hours),1373.0,2005,01
2630237,4718711,Electric - Grid,24960.0,kWh (thousand Watt-hours),1421.0,2005,02
2630237,4718711,Electric - Grid,25560.0,kWh (thousand Watt-hours),1450.0,2005,03
2630237,4718711,Electric - Grid,22080.0,kWh (thousand Watt-hours),1293.0,2005,04
2630237,4718711,Electric - Grid,28440.0,kWh (thousand Watt-hours),1707.0,2005,05
2630237,4718711,Electric - Grid,27360.0,kWh (thousand Watt-hours),1664.0,2005,06
2630237,4718711,Electric - Grid,32520.0,kWh (thousand Watt-hours),1881.0,2005,07
2630237,4718711,Electric - Grid,29040.0,kWh (thousand Watt-hours),1720.0,2005,08
2630237,4718711,Electric - Grid,26400.0,kWh (thousand Watt-hours),1563.0,2005,09
2630237,4718711,Electric - Grid,22320.0,kWh (thousand Watt-hours),1297.0,2005,10
2630237,4718711,Electric - Grid,25800.0,kWh (thousand Watt-hours),1462.0,2005,11
2630237,4718711,Electric - Grid,28320.0,kWh (thousand Watt-hours),1563.0,2005,12
2630237,4718711,Electric - Grid,23880.0,kWh (thousand Watt-hours),1376.0,2006,01
2630237,4718711,Electric - Grid,25320.0,kWh (thousand Watt-hours),1439.0,2006,02
2630237,4718711,Electric - Grid,28680.0,kWh (thousand Watt-hours),1562.0,2006,03
2630237,4718711,Electric - Grid,18960.0,kWh (thousand Watt-hours),1075.0,2006,04
2630237,4718711,Electric - Grid,25800.0,kWh (thousand Watt-hours),1560.0,2006,05
2630237,4718711,Electric - Grid,27840.0,kWh (thousand Watt-hours),1664.0,2006,06
2630237,4718711,Electric - Grid,34200.0,kWh (thousand Watt-hours),1982.0,2006,07
2630237,4718711,Electric - Grid,25800.0,kWh (thousand Watt-hours),1585.0,2006,08
2630237,4718711,Electric - Grid,23760.0,kWh (thousand Watt-hours),1381.0,2006,09
2630237,4718711,Electric - Grid,23760.0,kWh (thousand Watt-hours),1381.0,2006,10
2630237,4718711,Electric - Grid,27000.0,kWh (thousand Watt-hours),1487.0,2006,11
2630237,4718711,Electric - Grid,25560.0,kWh (thousand Watt-hours),1497.0,2006,12
2630237,4718711,Electric - Grid,23640.0,kWh (thousand Watt-hours),1355.0,2007,01
2630237,4718711,Electric - Grid,25440.0,kWh (thousand Watt-hours),1422.0,2007,02
