Building ID,Region,State,Month,Year,Category,Designation,GSF,Elec Amt,Elec Cost,Dmd Amt,Dmd Cost,Steam Amt,Steam Cost,Gas Amt,Gas Cost,Oil Amt,Oil Cost,CWater Amt,CWater Cost,Ren Elec Amt,Ren Elec Cost,Ren Gas Amt,Ren Gas Cost,Water Amt,Water Cost,Weather Station,HDD,CDD,Use Type,Year Built,Portfolio Manager ID,Portfolio Manager Meter ID,Postal Code
CT0060ZZ,1,Connecticut         ,4,2015,A,NULL,5919,3655,711,0,0,0,0,40501,507,0,0,0,0,274,0,0,0,15643,130,KBDL      ,1298,0,,,,,
CT0060ZZ,1,Connecticut         ,5,2015,A,NULL,5919,4847,885,0,0,0,0,50000,300,0,0,0,0,364,1,0,0,2602,55,KBDL      ,1369,0,,,,,
CT0060ZZ,1,Connecticut         ,6,2015,A,NULL,5919,4925,717,0,0,0,0,30800,207,0,0,0,0,369,1,0,0,2602,55,KBDL      ,1001,0,,,,,
CT0060ZZ,1,Connecticut         ,7,2015,A,NULL,5919,4865,557,0,0,0,0,30800,207,0,0,0,0,365,1,0,0,2602,55,KBDL      ,463,0,,,,,
CT0060ZZ,1,Connecticut         ,8,2015,A,NULL,5919,5387,882,0,0,0,0,30800,207,0,0,0,0,404,1,0,0,15642,129,KBDL      ,82,113,,,,,
CT0060ZZ,1,Connecticut         ,9,2015,A,NULL,5919,4759,727,0,0,0,0,600,94,0,0,0,0,357,1,0,0,15642,129,KBDL      ,50,126,,,,,
CT0060ZZ,1,Connecticut         ,10,2015,A,NULL,5919,6479,1234,0,0,0,0,400,94,0,0,0,0,486,1,0,0,15642,127,KBDL      ,1,281,,,,,
CT0060ZZ,1,Connecticut         ,11,2015,A,NULL,5919,5669,1156,0,0,0,0,0,0,0,0,0,0,425,1,0,0,0,18,KBDL      ,0,274,,,,,
CT0061ZZ,1,Connecticut         ,1,2015,A,"Y, X",176062,154500,19181,0,0,0,0,340000,3035,200,628,0,0,11588,17,0,0,40392,626,KHVN      ,239,25,,,,,
CT0061ZZ,1,Connecticut         ,2,2015,A,"Y, X",176062,162900,19145,0,0,0,0,874100,5649,150,471,0,0,12218,18,0,0,35904,897,KHVN      ,618,0,,,,,
CT0061ZZ,1,Connecticut         ,3,2015,A,"Y, X",176062,145500,24013,0,0,0,0,1211400,7299,150,471,0,0,10913,16,0,0,35904,618,KHVN      ,783,0,,,,,
CT0061ZZ,1,Connecticut         ,4,2015,A,"Y, X",176062,151500,24881,0,0,0,0,1295200,6768,150,471,0,0,11363,17,0,0,36652,639,KHVN      ,1136,0,,,,,
CT0061ZZ,1,Connecticut         ,5,2015,A,"Y, X",176062,142500,21179,0,0,0,0,1451600,6923,100,314,0,0,10688,16,0,0,38896,649,KHVN      ,1289,0,,,,,
CT0061ZZ,1,Connecticut         ,6,2015,A,"Y, X",176062,144300,19698,0,0,0,0,980700,5911,100,314,0,0,10823,16,0,0,39644,652,KHVN      ,986,0,,,,,
CT0061ZZ,1,Connecticut         ,7,2015,A,"Y, X",176062,141900,13103,0,0,0,0,455100,3180,80,251,0,0,10643,16,0,0,52360,710,KHVN      ,518,0,,,,,
CT0061ZZ,1,Connecticut         ,8,2015,A,"Y, X",176062,165300,20875,0,0,0,0,0,1405,0,0,0,0,12398,19,0,0,36652,639,KHVN      ,150,30,,,,,
CT0061ZZ,1,Connecticut         ,9,2015,A,"Y, X",176062,175200,24778,0,0,0,0,2700,1406,80,251,0,0,13140,20,0,0,41140,659,KHVN      ,67,106,,,,,
CT0061ZZ,1,Connecticut         ,10,2015,A,"Y, X",176062,235200,34845,0,0,0,0,0,1405,75,236,0,0,17640,26,0,0,44880,657,KHVN      ,0,272,,,,,
CT0061ZZ,1,Connecticut         ,11,2015,A,"Y, X",176062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378,KHVN      ,0,278,,,,,
CT3375ZZ,1,Connecticut         ,1,2015,C,NULL,89613,165459,18969,0,0,0,0,160000,1637,0,0,0,0,12409,19,0,0,0,0,KHVN      ,239,25,,,,,
CT3375ZZ,1,Connecticut         ,2,2015,C,NULL,89613,176995,23245,0,0,0,0,256700,2238,0,0,0,0,13275,20,0,0,0,0,KHVN      ,618,0,,,,,
CT3375ZZ,1,Connecticut         ,3,2015,C,NULL,89613,151286,24215,0,0,0,0,366600,2915,0,0,0,0,11346,17,0,0,0,0,KHVN      ,783,0,,,,,
CT3375ZZ,1,Connecticut         ,4,2015,C,NULL,89613,146837,24878,0,0,0,0,503300,3391,0,0,0,0,11013,17,0,0,0,0,KHVN      ,1136,0,,,,,
CT3375ZZ,1,Connecticut         ,5,2015,C,NULL,89613,167107,29687,0,0,0,0,602500,3628,0,0,0,0,12533,19,0,0,0,0,KHVN      ,1289,0,,,,,
CT3375ZZ,1,Connecticut         ,6,2015,C,NULL,89613,163153,21387,0,0,0,0,354100,2658,0,0,0,0,12236,18,0,0,0,0,KHVN      ,986,0,,,,,
CT3375ZZ,1,Connecticut         ,7,2015,C,NULL,89613,168920,18169,0,0,0,0,197600,1500,0,0,0,0,12669,19,0,0,0,0,KHVN      ,518,0,,,,,
CT3375ZZ,1,Connecticut         ,8,2015,C,NULL,89613,192981,19772,0,0,0,0,79300,932,0,0,0,0,14474,22,0,0,0,0,KHVN      ,150,30,,,,,
CT3375ZZ,1,Connecticut         ,9,2015,C,NULL,89613,197595,23575,0,0,0,0,35800,705,0,0,0,0,14820,22,0,0,0,0,KHVN      ,67,106,,,,,
CT3375ZZ,1,Connecticut         ,10,2015,C,NULL,89613,214405,33827,0,0,0,0,25000,656,0,0,0,0,16080,24,0,0,0,0,KHVN      ,0,272,,,,,
CT3375ZZ,1,Connecticut         ,11,2015,C,NULL,89613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KHVN      ,0,278,,,,,
