Portfolio Manager ID,Portfolio Manager Meter ID,Meter Type,End Date,Usage/Quantity,Usage Units,Cost ($)
2630154,4718425,Electric - Grid,2002-10-31 00:00:00,107200.0,kWh (thousand Watt-hours),5700.0
2630154,4718425,Electric - Grid,2002-11-30 00:00:00,90480.0,kWh (thousand Watt-hours),4937.0
2630154,4718425,Electric - Grid,2002-12-31 00:00:00,88880.0,kWh (thousand Watt-hours),4863.0
2630154,4718425,Electric - Grid,2003-01-31 00:00:00,78080.0,kWh (thousand Watt-hours),4425.0
2630154,4718425,Electric - Grid,2003-02-28 00:00:00,90000.0,kWh (thousand Watt-hours),4998.0
2630154,4718425,Electric - Grid,2003-03-31 00:00:00,102080.0,kWh (thousand Watt-hours),5830.0
2630154,4718425,Electric - Grid,2003-04-30 00:00:00,144400.0,kWh (thousand Watt-hours),7624.0
2630154,4718425,Electric - Grid,2003-05-31 00:00:00,147920.0,kWh (thousand Watt-hours),7780.0
2630154,4718425,Electric - Grid,2003-06-30 00:00:00,160880.0,kWh (thousand Watt-hours),8441.0
2630154,4718425,Electric - Grid,2003-07-31 00:00:00,154560.0,kWh (thousand Watt-hours),10020.0
2630154,4718425,Electric - Grid,2003-08-31 00:00:00,160400.0,kWh (thousand Watt-hours),10359.0
2630154,4718425,Electric - Grid,2003-09-30 00:00:00,139120.0,kWh (thousand Watt-hours),9077.0
2630154,4718425,Electric - Grid,2003-10-31 00:00:00,126320.0,kWh (thousand Watt-hours),8401.0
2630154,4718425,Electric - Grid,2003-11-30 00:00:00,95680.0,kWh (thousand Watt-hours),6484.0
2630154,4718425,Electric - Grid,2003-12-31 00:00:00,97200.0,kWh (thousand Watt-hours),6581.0
2630154,4718425,Electric - Grid,2004-01-31 00:00:00,89920.0,kWh (thousand Watt-hours),6101.0
2630154,4718425,Electric - Grid,2004-02-29 00:00:00,92480.0,kWh (thousand Watt-hours),6246.0
2630154,4718425,Electric - Grid,2004-03-31 00:00:00,123280.0,kWh (thousand Watt-hours),7946.0
2630154,4718425,Electric - Grid,2004-04-30 00:00:00,119920.0,kWh (thousand Watt-hours),7818.0
2630154,4718425,Electric - Grid,2004-05-31 00:00:00,147920.0,kWh (thousand Watt-hours),9486.0
2630154,4718425,Electric - Grid,2004-06-30 00:00:00,166240.0,kWh (thousand Watt-hours),10727.0
2630154,4718425,Electric - Grid,2004-07-31 00:00:00,148880.0,kWh (thousand Watt-hours),9483.0
2630154,4718425,Electric - Grid,2004-08-31 00:00:00,145280.0,kWh (thousand Watt-hours),9375.0
2630154,4718425,Electric - Grid,2004-09-30 00:00:00,144160.0,kWh (thousand Watt-hours),9273.0
2630154,4718425,Electric - Grid,2004-10-31 00:00:00,132000.0,kWh (thousand Watt-hours),8533.0
2630154,4718425,Electric - Grid,2004-11-30 00:00:00,103600.0,kWh (thousand Watt-hours),6946.0
2630154,4718425,Electric - Grid,2004-12-31 00:00:00,108000.0,kWh (thousand Watt-hours),7214.0
2630154,4718425,Electric - Grid,2005-01-31 00:00:00,81040.0,kWh (thousand Watt-hours),5625.0
2630154,4718425,Electric - Grid,2005-02-28 00:00:00,94400.0,kWh (thousand Watt-hours),6366.0
2630154,4718425,Electric - Grid,2005-03-31 00:00:00,122640.0,kWh (thousand Watt-hours),7917.0
2630154,4718425,Electric - Grid,2005-04-30 00:00:00,124800.0,kWh (thousand Watt-hours),8067.0
2630154,4718425,Electric - Grid,2005-05-31 00:00:00,175040.0,kWh (thousand Watt-hours),14822.0
2630154,4718425,Electric - Grid,2005-06-30 00:00:00,159520.0,kWh (thousand Watt-hours),13632.0
2630154,4718425,Electric - Grid,2005-07-31 00:00:00,166240.0,kWh (thousand Watt-hours),14196.0
2630154,4718425,Electric - Grid,2005-08-31 00:00:00,167600.0,kWh (thousand Watt-hours),14453.0
2630154,4718425,Electric - Grid,2005-09-30 00:00:00,167440.0,kWh (thousand Watt-hours),14450.0
2630154,4718425,Electric - Grid,2005-10-31 00:00:00,119920.0,kWh (thousand Watt-hours),10626.0
2630154,4718425,Electric - Grid,2005-11-30 00:00:00,107200.0,kWh (thousand Watt-hours),9653.0
2630154,4718425,Electric - Grid,2005-12-31 00:00:00,104320.0,kWh (thousand Watt-hours),9257.0
2630154,4718425,Electric - Grid,2006-01-31 00:00:00,96000.0,kWh (thousand Watt-hours),8532.0
2630154,4718425,Electric - Grid,2006-02-28 00:00:00,100240.0,kWh (thousand Watt-hours),8894.0
2630154,4718425,Electric - Grid,2006-03-31 00:00:00,110880.0,kWh (thousand Watt-hours),9693.0
2630154,4718425,Electric - Grid,2006-04-30 00:00:00,137360.0,kWh (thousand Watt-hours),11724.0
2630154,4718425,Electric - Grid,2006-05-31 00:00:00,165760.0,kWh (thousand Watt-hours),14179.0
2630154,4718425,Electric - Grid,2006-06-30 00:00:00,160400.0,kWh (thousand Watt-hours),13807.0
2630154,4718425,Electric - Grid,2006-07-31 00:00:00,157120.0,kWh (thousand Watt-hours),13560.0
2630154,4718425,Electric - Grid,2006-08-31 00:00:00,172800.0,kWh (thousand Watt-hours),14712.0
2630154,4718425,Electric - Grid,2006-09-30 00:00:00,163120.0,kWh (thousand Watt-hours),13970.0
