Portfolio Manager ID,Portfolio Manager Meter ID,Meter Type,End Date,Usage/Quantity,Usage Units,Cost ($)
903,4717458,Electric - Grid,2002-10-31 00:00:00,65520.0,kWh (thousand Watt-hours),6507.0
903,4717458,Electric - Grid,2002-11-30 00:00:00,60720.0,kWh (thousand Watt-hours),6023.0
903,4717458,Electric - Grid,2002-12-31 00:00:00,66720.0,kWh (thousand Watt-hours),6487.0
903,4717458,Electric - Grid,2003-01-31 00:00:00,67200.0,kWh (thousand Watt-hours),6529.0
903,4717458,Electric - Grid,2003-02-28 00:00:00,65280.0,kWh (thousand Watt-hours),6302.0
903,4717458,Electric - Grid,2003-03-31 00:00:00,57600.0,kWh (thousand Watt-hours),5775.0
903,4717458,Electric - Grid,2003-04-30 00:00:00,62160.0,kWh (thousand Watt-hours),6322.0
903,4717458,Electric - Grid,2003-05-31 00:00:00,54480.0,kWh (thousand Watt-hours),6191.0
903,4717458,Electric - Grid,2003-06-30 00:00:00,79440.0,kWh (thousand Watt-hours),9450.0
903,4717458,Electric - Grid,2003-07-31 00:00:00,78400.0,kWh (thousand Watt-hours),9379.0
903,4717458,Electric - Grid,2003-08-31 00:00:00,74160.0,kWh (thousand Watt-hours),8928.0
903,4717458,Electric - Grid,2003-09-30 00:00:00,63360.0,kWh (thousand Watt-hours),7519.0
903,4717458,Electric - Grid,2003-10-31 00:00:00,72720.0,kWh (thousand Watt-hours),7890.0
903,4717458,Electric - Grid,2003-11-30 00:00:00,58560.0,kWh (thousand Watt-hours),5655.0
903,4717458,Electric - Grid,2003-12-31 00:00:00,67440.0,kWh (thousand Watt-hours),6532.0
903,4717458,Electric - Grid,2004-01-31 00:00:00,62880.0,kWh (thousand Watt-hours),6544.0
903,4717458,Electric - Grid,2004-02-29 00:00:00,64080.0,kWh (thousand Watt-hours),6684.0
903,4717458,Electric - Grid,2004-03-31 00:00:00,65000.0,kWh (thousand Watt-hours),6769.0
903,4717458,Electric - Grid,2004-04-30 00:00:00,56640.0,kWh (thousand Watt-hours),6660.0
903,4717458,Electric - Grid,2004-05-31 00:00:00,63360.0,kWh (thousand Watt-hours),7990.0
903,4717458,Electric - Grid,2004-06-30 00:00:00,84240.0,kWh (thousand Watt-hours),11490.0
903,4717458,Electric - Grid,2004-07-31 00:00:00,84480.0,kWh (thousand Watt-hours),11666.0
