Portfolio Manager ID,Portfolio Manager Meter ID,Meter Type,End Date,Usage/Quantity,Usage Units,Cost ($)
2630204,4718602,Electric - Grid,2002-10-31 00:00:00,9220.0,kWh (thousand Watt-hours),1111.0
2630204,4718602,Electric - Grid,2002-11-30 00:00:00,10890.0,kWh (thousand Watt-hours),1308.0
2630204,4718602,Electric - Grid,2002-12-31 00:00:00,10560.0,kWh (thousand Watt-hours),1270.0
2630204,4718602,Electric - Grid,2003-01-31 00:00:00,11800.0,kWh (thousand Watt-hours),1406.0
2630204,4718602,Electric - Grid,2003-02-28 00:00:00,9880.0,kWh (thousand Watt-hours),1181.0
2630204,4718602,Electric - Grid,2003-03-31 00:00:00,7710.0,kWh (thousand Watt-hours),927.0
2630204,4718602,Electric - Grid,2003-04-30 00:00:00,9440.0,kWh (thousand Watt-hours),997.0
2630204,4718602,Electric - Grid,2003-05-31 00:00:00,7660.0,kWh (thousand Watt-hours),813.0
2630204,4718602,Electric - Grid,2003-06-30 00:00:00,6110.0,kWh (thousand Watt-hours),653.0
2630204,4718602,Electric - Grid,2003-07-31 00:00:00,9410.0,kWh (thousand Watt-hours),994.0
2630204,4718602,Electric - Grid,2003-08-31 00:00:00,7920.0,kWh (thousand Watt-hours),802.0
2630204,4718602,Electric - Grid,2003-09-30 00:00:00,8520.0,kWh (thousand Watt-hours),899.0
2630204,4718602,Electric - Grid,2003-10-31 00:00:00,9410.0,kWh (thousand Watt-hours),1127.0
2630204,4718602,Electric - Grid,2003-11-30 00:00:00,9120.0,kWh (thousand Watt-hours),643.0
2630204,4718602,Electric - Grid,2003-12-31 00:00:00,11710.0,kWh (thousand Watt-hours),1397.0
2630204,4718602,Electric - Grid,2004-01-31 00:00:00,11080.0,kWh (thousand Watt-hours),1323.0
2630204,4718602,Electric - Grid,2004-02-29 00:00:00,11330.0,kWh (thousand Watt-hours),1352.0
2630204,4718602,Electric - Grid,2004-03-31 00:00:00,9720.0,kWh (thousand Watt-hours),895.0
2630204,4718602,Electric - Grid,2004-04-30 00:00:00,7900.0,kWh (thousand Watt-hours),838.0
2630204,4718602,Electric - Grid,2004-05-31 00:00:00,6470.0,kWh (thousand Watt-hours),690.0
2630204,4718602,Electric - Grid,2004-06-30 00:00:00,8640.0,kWh (thousand Watt-hours),923.0
2630204,4718602,Electric - Grid,2004-07-31 00:00:00,9910.0,kWh (thousand Watt-hours),1061.0
2630204,4718602,Electric - Grid,2004-08-31 00:00:00,7370.0,kWh (thousand Watt-hours),783.0
2630204,4718602,Electric - Grid,2004-09-30 00:00:00,7360.0,kWh (thousand Watt-hours),782.0
2630204,4718602,Electric - Grid,2004-10-31 00:00:00,8910.0,kWh (thousand Watt-hours),1068.0
2630204,4718602,Electric - Grid,2004-11-30 00:00:00,9420.0,kWh (thousand Watt-hours),1128.0
2630204,4718602,Electric - Grid,2004-12-31 00:00:00,10930.0,kWh (thousand Watt-hours),1305.0
2630204,4718602,Electric - Grid,2005-01-31 00:00:00,12510.0,kWh (thousand Watt-hours),1496.0
2630204,4718602,Electric - Grid,2005-02-28 00:00:00,13140.0,kWh (thousand Watt-hours),1570.0
2630204,4718602,Electric - Grid,2005-03-31 00:00:00,11210.0,kWh (thousand Watt-hours),1343.0
2630204,4718602,Electric - Grid,2005-04-30 00:00:00,8780.0,kWh (thousand Watt-hours),933.0
2630204,4718602,Electric - Grid,2005-05-31 00:00:00,9620.0,kWh (thousand Watt-hours),1020.0
2630204,4718602,Electric - Grid,2005-06-30 00:00:00,8630.0,kWh (thousand Watt-hours),917.0
2630204,4718602,Electric - Grid,2005-07-31 00:00:00,8910.0,kWh (thousand Watt-hours),946.0
2630204,4718602,Electric - Grid,2005-08-31 00:00:00,8780.0,kWh (thousand Watt-hours),933.0
2630204,4718602,Electric - Grid,2005-09-30 00:00:00,8080.0,kWh (thousand Watt-hours),860.0
2630204,4718602,Electric - Grid,2005-10-31 00:00:00,8100.0,kWh (thousand Watt-hours),974.0
2630204,4718602,Electric - Grid,2005-11-30 00:00:00,10470.0,kWh (thousand Watt-hours),1256.0
2630204,4718602,Electric - Grid,2005-12-31 00:00:00,11700.0,kWh (thousand Watt-hours),1584.0
2630204,4718602,Electric - Grid,2006-01-31 00:00:00,9940.0,kWh (thousand Watt-hours),1364.0
2630204,4718602,Electric - Grid,2006-02-28 00:00:00,11510.0,kWh (thousand Watt-hours),1575.0
2630204,4718602,Electric - Grid,2006-03-31 00:00:00,9680.0,kWh (thousand Watt-hours),1329.0
2630204,4718602,Electric - Grid,2006-04-30 00:00:00,8500.0,kWh (thousand Watt-hours),1170.0
2630204,4718602,Electric - Grid,2006-05-31 00:00:00,8490.0,kWh (thousand Watt-hours),1014.0
2630204,4718602,Electric - Grid,2006-06-30 00:00:00,8940.0,kWh (thousand Watt-hours),1085.0
2630204,4718602,Electric - Grid,2006-07-31 00:00:00,9710.0,kWh (thousand Watt-hours),1177.0
2630204,4718602,Electric - Grid,2006-08-31 00:00:00,7750.0,kWh (thousand Watt-hours),832.0
2630204,4718602,Electric - Grid,2006-09-30 00:00:00,9260.0,kWh (thousand Watt-hours),1132.0
2630204,4718602,Electric - Grid,2006-10-31 00:00:00,9680.0,kWh (thousand Watt-hours),1336.0
2630204,4718602,Electric - Grid,2006-11-30 00:00:00,9800.0,kWh (thousand Watt-hours),1354.0
2630204,4718602,Electric - Grid,2006-12-31 00:00:00,10630.0,kWh (thousand Watt-hours),1467.0
2630204,4718602,Electric - Grid,2007-01-31 00:00:00,11960.0,kWh (thousand Watt-hours),1744.0
2630204,4718602,Electric - Grid,2007-02-28 00:00:00,11560.0,kWh (thousand Watt-hours),1697.0
2630204,4718602,Electric - Grid,2007-03-31 00:00:00,12450.0,kWh (thousand Watt-hours),1825.0
2630204,4718602,Electric - Grid,2007-04-30 00:00:00,9110.0,kWh (thousand Watt-hours),1186.0
2630204,4718602,Electric - Grid,2007-05-31 00:00:00,8820.0,kWh (thousand Watt-hours),1149.0
2630204,4718602,Electric - Grid,2007-06-30 00:00:00,8550.0,kWh (thousand Watt-hours),1126.0
2630204,4718602,Electric - Grid,2007-07-31 00:00:00,9770.0,kWh (thousand Watt-hours),1270.0
2630204,4718602,Electric - Grid,2007-08-31 00:00:00,8870.0,kWh (thousand Watt-hours),1155.0
2630204,4718602,Electric - Grid,2007-09-30 00:00:00,9840.0,kWh (thousand Watt-hours),1279.0
2630204,4718602,Electric - Grid,2007-10-31 00:00:00,10940.0,kWh (thousand Watt-hours),1607.0
2630204,4718602,Electric - Grid,2007-11-30 00:00:00,11150.0,kWh (thousand Watt-hours),1638.0
2630204,4718602,Electric - Grid,2007-12-31 00:00:00,11900.0,kWh (thousand Watt-hours),1746.0
2630204,4718602,Electric - Grid,2008-01-31 00:00:00,12200.0,kWh (thousand Watt-hours),1750.0
2630204,4718602,Electric - Grid,2008-02-29 00:00:00,12470.0,kWh (thousand Watt-hours),1788.0
2630204,4718602,Electric - Grid,2008-03-31 00:00:00,10440.0,kWh (thousand Watt-hours),1502.0
2630204,4718602,Electric - Grid,2008-04-30 00:00:00,9820.0,kWh (thousand Watt-hours),1414.0
2630204,4718602,Electric - Grid,2008-05-31 00:00:00,8420.0,kWh (thousand Watt-hours),1217.0
2630204,4718602,Electric - Grid,2008-06-30 00:00:00,10260.0,kWh (thousand Watt-hours),1476.0
2630204,4718602,Electric - Grid,2008-07-31 00:00:00,9770.0,kWh (thousand Watt-hours),1407.0
2630204,4718602,Electric - Grid,2008-08-31 00:00:00,8850.0,kWh (thousand Watt-hours),1277.0
2630204,4718602,Electric - Grid,2008-09-30 00:00:00,10480.0,kWh (thousand Watt-hours),1507.0
2630204,4718602,Electric - Grid,2008-10-31 00:00:00,10590.0,kWh (thousand Watt-hours),1522.0
2630204,4718602,Electric - Grid,2008-11-30 00:00:00,11470.0,kWh (thousand Watt-hours),1647.0
2630204,4718602,Electric - Grid,2008-12-31 00:00:00,11250.0,kWh (thousand Watt-hours),1616.0
2630204,4718602,Electric - Grid,2009-01-31 00:00:00,11850.0,kWh (thousand Watt-hours),1841.0
2630204,4718602,Electric - Grid,2009-02-28 00:00:00,12660.0,kWh (thousand Watt-hours),1976.0
2630204,4718602,Electric - Grid,2009-03-31 00:00:00,11820.0,kWh (thousand Watt-hours),1847.0
2630204,4718602,Electric - Grid,2009-04-30 00:00:00,11230.0,kWh (thousand Watt-hours),1756.0
2630204,4718602,Electric - Grid,2009-05-31 00:00:00,10140.0,kWh (thousand Watt-hours),1607.0
2630204,4718602,Electric - Grid,2009-06-30 00:00:00,11080.0,kWh (thousand Watt-hours),1733.0
2630204,4718602,Electric - Grid,2009-07-31 00:00:00,9020.0,kWh (thousand Watt-hours),1416.0
2630204,4718602,Electric - Grid,2009-08-31 00:00:00,12270.0,kWh (thousand Watt-hours),1916.0
2630204,4718602,Electric - Grid,2009-09-30 00:00:00,9240.0,kWh (thousand Watt-hours),1450.0
2630204,4718602,Electric - Grid,2009-10-31 00:00:00,10410.0,kWh (thousand Watt-hours),1630.0
2630204,4718602,Electric - Grid,2009-11-30 00:00:00,11240.0,kWh (thousand Watt-hours),1758.0
2630204,4718602,Electric - Grid,2009-12-31 00:00:00,11060.0,kWh (thousand Watt-hours),1730.0
2630204,4718602,Electric - Grid,2010-01-31 00:00:00,13320.0,kWh (thousand Watt-hours),2126.0
2630204,4718602,Electric - Grid,2010-02-28 00:00:00,11460.0,kWh (thousand Watt-hours),1834.0
2630204,4718602,Electric - Grid,2010-03-31 00:00:00,11420.0,kWh (thousand Watt-hours),1828.0
2630204,4718602,Electric - Grid,2010-04-30 00:00:00,10360.0,kWh (thousand Watt-hours),1661.0
2630204,4718602,Electric - Grid,2010-05-31 00:00:00,8820.0,kWh (thousand Watt-hours),1419.0
2630204,4718602,Electric - Grid,2010-06-30 00:00:00,9070.0,kWh (thousand Watt-hours),1458.0
2630204,4718602,Electric - Grid,2010-07-31 00:00:00,9810.0,kWh (thousand Watt-hours),1575.0
2630204,4718602,Electric - Grid,2010-08-31 00:00:00,8680.0,kWh (thousand Watt-hours),1397.0
2630204,4718602,Electric - Grid,2010-09-21 00:00:00,9820.0,kWh (thousand Watt-hours),1576.0
2630204,4718602,Electric - Grid,2010-10-22 00:00:00,10260.0,kWh (thousand Watt-hours),1645.0
2630204,4718602,Electric - Grid,2010-11-22 00:00:00,11900.0,kWh (thousand Watt-hours),1903.0
2630204,4718602,Electric - Grid,2010-12-23 00:00:00,11190.0,kWh (thousand Watt-hours),1792.0
2630204,4718602,Electric - Grid,2011-01-23 00:00:00,12640.0,kWh (thousand Watt-hours),2075.0
2630204,4718602,Electric - Grid,2011-02-23 00:00:00,10350.0,kWh (thousand Watt-hours),1708.0
2630204,4718602,Electric - Grid,2011-03-26 00:00:00,10620.0,kWh (thousand Watt-hours),1752.0
2630204,4718602,Electric - Grid,2011-04-26 00:00:00,9860.0,kWh (thousand Watt-hours),1629.0
2630204,4718602,Electric - Grid,2011-05-27 00:00:00,9600.0,kWh (thousand Watt-hours),1587.0
2630204,4718602,Electric - Grid,2011-06-27 00:00:00,8180.0,kWh (thousand Watt-hours),1357.0
2630204,4718602,Electric - Grid,2011-07-28 00:00:00,9060.0,kWh (thousand Watt-hours),1499.0
2630204,4718602,Electric - Grid,2011-08-28 00:00:00,8843.0,kWh (thousand Watt-hours),1464.0
2630204,4718602,Electric - Grid,2011-09-28 00:00:00,8957.0,kWh (thousand Watt-hours),1483.0
2630204,4718602,Electric - Grid,2011-10-29 00:00:00,9498.0,kWh (thousand Watt-hours),1570.0
2630204,4718602,Electric - Grid,2011-11-29 00:00:00,9150.0,kWh (thousand Watt-hours),1514.0
2630204,4718602,Electric - Grid,2011-12-30 00:00:00,9029.0,kWh (thousand Watt-hours),1494.0
2630204,4718602,Electric - Grid,2012-01-30 00:00:00,9481.0,kWh (thousand Watt-hours),1566.0
2630204,4718602,Electric - Grid,2012-03-01 00:00:00,8829.0,kWh (thousand Watt-hours),1461.0
2630204,4718602,Electric - Grid,2012-03-31 00:00:00,8416.0,kWh (thousand Watt-hours),1394.0
2630204,4718602,Electric - Grid,2012-04-30 00:00:00,8378.0,kWh (thousand Watt-hours),1388.0
2630204,4718602,Electric - Grid,2012-05-29 00:00:00,7598.0,kWh (thousand Watt-hours),1262.0
2630204,4718602,Electric - Grid,2012-06-30 00:00:00,9069.0,kWh (thousand Watt-hours),1500.0
2630204,4718602,Electric - Grid,2012-07-30 00:00:00,8672.0,kWh (thousand Watt-hours),1435.0
2630204,4718602,Electric - Grid,2012-08-30 00:00:00,9479.0,kWh (thousand Watt-hours),1566.0
2630204,4718602,Electric - Grid,2012-09-30 00:00:00,8474.0,kWh (thousand Watt-hours),1403.0
2630204,4718602,Electric - Grid,2012-10-30 00:00:00,8575.0,kWh (thousand Watt-hours),1420.0
2630204,4718602,Electric - Grid,2012-11-30 00:00:00,9485.0,kWh (thousand Watt-hours),1567.0
2630204,4718602,Electric - Grid,2012-12-30 00:00:00,9726.0,kWh (thousand Watt-hours),1606.0
2630204,4718602,Electric - Grid,2013-01-30 00:00:00,10020.0,kWh (thousand Watt-hours),1661.0
2630204,4718602,Electric - Grid,2013-03-01 00:00:00,9995.0,kWh (thousand Watt-hours),1657.0
2630204,4718602,Electric - Grid,2013-03-30 00:00:00,9266.0,kWh (thousand Watt-hours),1538.0
2630204,4718602,Electric - Grid,2013-04-30 00:00:00,9080.0,kWh (thousand Watt-hours),1508.0
2630204,4718602,Electric - Grid,2013-06-01 00:00:00,8920.0,kWh (thousand Watt-hours),1482.0
2630204,4718602,Electric - Grid,2013-06-30 00:00:00,8234.0,kWh (thousand Watt-hours),1370.0
2630204,4718602,Electric - Grid,2013-07-28 00:00:00,9081.0,kWh (thousand Watt-hours),1508.0
2630204,4718602,Electric - Grid,2013-08-28 00:00:00,9044.0,kWh (thousand Watt-hours),1502.0
2630204,4718602,Electric - Grid,2013-09-27 00:00:00,9263.0,kWh (thousand Watt-hours),1311.0
2630204,4718602,Electric - Grid,2013-10-28 00:00:00,9332.0,kWh (thousand Watt-hours),1549.0
2630204,4718602,Electric - Grid,2013-11-28 00:00:00,10051.0,kWh (thousand Watt-hours),1666.0
2630204,4718602,Electric - Grid,2013-12-31 00:00:00,11761.0,kWh (thousand Watt-hours),1944.0
2630204,4718602,Electric - Grid,2014-01-28 00:00:00,9842.0,kWh (thousand Watt-hours),1683.0
2630204,4718602,Electric - Grid,2014-02-28 00:00:00,10423.0,kWh (thousand Watt-hours),1781.0
2630204,4718602,Electric - Grid,2014-03-28 00:00:00,8517.0,kWh (thousand Watt-hours),1461.0
2630204,4718602,Electric - Grid,2014-04-28 00:00:00,8648.0,kWh (thousand Watt-hours),1483.0
2630204,4718602,Electric - Grid,2014-05-28 00:00:00,7854.0,kWh (thousand Watt-hours),1350.0
2630204,4718602,Electric - Grid,2014-06-28 00:00:00,8136.0,kWh (thousand Watt-hours),1397.0
2630204,4718602,Electric - Grid,2014-07-28 00:00:00,8045.0,kWh (thousand Watt-hours),1382.0
2630204,4718602,Electric - Grid,2014-08-28 00:00:00,8685.0,kWh (thousand Watt-hours),1489.0
2630204,4718602,Electric - Grid,2014-09-27 00:00:00,8449.0,kWh (thousand Watt-hours),1339.0
2630204,4718602,Electric - Grid,2014-10-28 00:00:00,9681.0,kWh (thousand Watt-hours),1656.0
2630204,4718602,Electric - Grid,2014-11-28 00:00:00,10134.0,kWh (thousand Watt-hours),1732.0
2630204,4718602,Electric - Grid,2014-12-28 00:00:00,9176.0,kWh (thousand Watt-hours),1571.0
2630204,4718602,Electric - Grid,2015-01-28 00:00:00,9606.0,kWh (thousand Watt-hours),1651.0
2630204,4718602,Electric - Grid,2015-02-28 00:00:00,9254.0,kWh (thousand Watt-hours),1592.0
2630204,4718602,Electric - Grid,2015-03-28 00:00:00,7410.0,kWh (thousand Watt-hours),1281.0
2630204,4718602,Electric - Grid,2015-04-28 00:00:00,7551.0,kWh (thousand Watt-hours),1305.0
2630204,4718602,Electric - Grid,2015-05-28 00:00:00,6684.0,kWh (thousand Watt-hours),1159.0
2630204,4718602,Electric - Grid,2015-06-27 00:00:00,6603.0,kWh (thousand Watt-hours),1145.0
2630204,4718601,Fuel Oil (No. 2),2002-10-31 00:00:00,229.0,Gallons,210.0
2630204,4718601,Fuel Oil (No. 2),2002-11-30 00:00:00,491.0,Gallons,408.0
2630204,4718601,Fuel Oil (No. 2),2002-12-31 00:00:00,884.0,Gallons,840.0
2630204,4718601,Fuel Oil (No. 2),2003-01-31 00:00:00,803.0,Gallons,850.0
2630204,4718601,Fuel Oil (No. 2),2003-02-28 00:00:00,772.0,Gallons,1012.0
2630204,4718601,Fuel Oil (No. 2),2003-03-31 00:00:00,660.0,Gallons,845.0
2630204,4718601,Fuel Oil (No. 2),2003-04-30 00:00:00,357.0,Gallons,361.0
2630204,4718601,Fuel Oil (No. 2),2003-05-31 00:00:00,0.0,Gallons,0.0
2630204,4718601,Fuel Oil (No. 2),2003-06-30 00:00:00,0.0,Gallons,0.0
2630204,4718601,Fuel Oil (No. 2),2003-07-31 00:00:00,0.0,Gallons,0.0
2630204,4718601,Fuel Oil (No. 2),2003-08-31 00:00:00,0.0,Gallons,0.0
2630204,4718601,Fuel Oil (No. 2),2003-09-30 00:00:00,0.0,Gallons,0.0
2630204,4718601,Fuel Oil (No. 2),2003-10-31 00:00:00,956.0,Gallons,882.0
2630204,4718601,Fuel Oil (No. 2),2003-11-30 00:00:00,0.0,Gallons,0.0
2630204,4718601,Fuel Oil (No. 2),2003-12-31 00:00:00,914.0,Gallons,940.0
2630204,4718601,Fuel Oil (No. 2),2004-01-31 00:00:00,1023.0,Gallons,1153.0
2630204,4718601,Fuel Oil (No. 2),2004-02-29 00:00:00,877.0,Gallons,977.0
2630204,4718601,Fuel Oil (No. 2),2004-03-31 00:00:00,636.0,Gallons,678.0
2630204,4718601,Fuel Oil (No. 2),2004-04-30 00:00:00,314.0,Gallons,333.0
2630204,4718601,Fuel Oil (No. 2),2004-05-31 00:00:00,0.0,Gallons,0.0
2630204,4718601,Fuel Oil (No. 2),2004-06-30 00:00:00,283.0,Gallons,322.0
2630204,4718601,Fuel Oil (No. 2),2004-07-31 00:00:00,0.0,Gallons,0.0
2630204,4718601,Fuel Oil (No. 2),2004-08-31 00:00:00,0.0,Gallons,0.0
2630204,4718601,Fuel Oil (No. 2),2004-09-30 00:00:00,0.0,Gallons,0.0
2630204,4718601,Fuel Oil (No. 2),2004-10-31 00:00:00,505.0,Gallons,836.0
2630204,4718601,Fuel Oil (No. 2),2004-11-30 00:00:00,414.0,Gallons,621.0
2630204,4718601,Fuel Oil (No. 2),2004-12-31 00:00:00,914.0,Gallons,940.0
2630204,4718601,Fuel Oil (No. 2),2005-01-31 00:00:00,1181.0,Gallons,1738.0
2630204,4718601,Fuel Oil (No. 2),2005-02-28 00:00:00,468.0,Gallons,801.0
2630204,4718601,Fuel Oil (No. 2),2005-03-31 00:00:00,569.0,Gallons,988.0
2630204,4718601,Fuel Oil (No. 2),2005-04-30 00:00:00,467.0,Gallons,772.0
2630204,4718601,Fuel Oil (No. 2),2005-05-31 00:00:00,317.0,Gallons,484.0
2630204,4718601,Fuel Oil (No. 2),2005-06-30 00:00:00,0.0,Gallons,0.0
2630204,4718601,Fuel Oil (No. 2),2005-07-31 00:00:00,0.0,Gallons,0.0
2630204,4718601,Fuel Oil (No. 2),2005-08-31 00:00:00,0.0,Gallons,0.0
2630204,4718601,Fuel Oil (No. 2),2005-09-30 00:00:00,157.0,Gallons,312.0
2630204,4718601,Fuel Oil (No. 2),2005-10-31 00:00:00,338.0,Gallons,667.0
2630204,4718601,Fuel Oil (No. 2),2005-11-30 00:00:00,321.0,Gallons,585.0
2630204,4718601,Fuel Oil (No. 2),2005-12-31 00:00:00,378.0,Gallons,695.0
2630204,4718601,Fuel Oil (No. 2),2006-01-31 00:00:00,826.0,Gallons,1574.0
2630204,4718601,Fuel Oil (No. 2),2006-02-28 00:00:00,840.0,Gallons,1513.0
2630204,4718601,Fuel Oil (No. 2),2006-03-31 00:00:00,460.0,Gallons,898.0
2630204,4718601,Fuel Oil (No. 2),2006-04-30 00:00:00,341.0,Gallons,731.0
2630204,4718601,Fuel Oil (No. 2),2006-05-31 00:00:00,18.0,Gallons,43.0
2630204,4718601,Fuel Oil (No. 2),2006-06-30 00:00:00,361.0,Gallons,722.0
2630204,4718601,Fuel Oil (No. 2),2006-07-31 00:00:00,0.0,Gallons,0.0
2630204,4718601,Fuel Oil (No. 2),2006-08-31 00:00:00,0.0,Gallons,0.0
2630204,4718601,Fuel Oil (No. 2),2006-09-30 00:00:00,215.0,Gallons,441.0
2630204,4718601,Fuel Oil (No. 2),2006-10-31 00:00:00,0.0,Gallons,0.0
2630204,4718601,Fuel Oil (No. 2),2006-11-30 00:00:00,372.0,Gallons,810.0
2630204,4718601,Fuel Oil (No. 2),2006-12-31 00:00:00,347.0,Gallons,755.0
2630204,4718601,Fuel Oil (No. 2),2007-01-31 00:00:00,989.0,Gallons,2154.0
2630204,4718601,Fuel Oil (No. 2),2007-02-28 00:00:00,358.0,Gallons,780.0
2630204,4718601,Fuel Oil (No. 2),2007-03-31 00:00:00,1106.0,Gallons,2409.0
2630204,4718601,Fuel Oil (No. 2),2007-04-30 00:00:00,0.0,Gallons,0.0
2630204,4718601,Fuel Oil (No. 2),2007-05-31 00:00:00,541.0,Gallons,1177.0
2630204,4718601,Fuel Oil (No. 2),2007-06-30 00:00:00,0.0,Gallons,0.0
2630204,4718601,Fuel Oil (No. 2),2007-07-31 00:00:00,0.0,Gallons,0.0
2630204,4718601,Fuel Oil (No. 2),2007-08-31 00:00:00,389.0,Gallons,866.0
2630204,4718601,Fuel Oil (No. 2),2007-09-30 00:00:00,0.0,Gallons,0.0
2630204,4718601,Fuel Oil (No. 2),2007-10-31 00:00:00,211.0,Gallons,459.0
2630204,4718601,Fuel Oil (No. 2),2007-11-30 00:00:00,458.0,Gallons,998.0
2630204,4718601,Fuel Oil (No. 2),2007-12-31 00:00:00,561.0,Gallons,1222.0
2630204,4718601,Fuel Oil (No. 2),2008-01-31 00:00:00,691.0,Gallons,1506.0
2630204,4718601,Fuel Oil (No. 2),2008-02-29 00:00:00,602.0,Gallons,1784.0
2630204,4718601,Fuel Oil (No. 2),2008-03-31 00:00:00,465.0,Gallons,1563.0
2630204,4718601,Fuel Oil (No. 2),2008-04-30 00:00:00,435.0,Gallons,1466.0
2630204,4718601,Fuel Oil (No. 2),2008-05-31 00:00:00,328.0,Gallons,1294.0
2630204,4718601,Fuel Oil (No. 2),2008-06-30 00:00:00,0.0,Gallons,0.0
2630204,4718601,Fuel Oil (No. 2),2008-07-31 00:00:00,0.0,Gallons,0.0
2630204,4718601,Fuel Oil (No. 2),2008-08-31 00:00:00,157.0,Gallons,527.0
2630204,4718601,Fuel Oil (No. 2),2008-09-30 00:00:00,0.0,Gallons,0.0
2630204,4718601,Fuel Oil (No. 2),2008-10-31 00:00:00,324.0,Gallons,734.0
2630204,4718601,Fuel Oil (No. 2),2008-11-30 00:00:00,0.0,Gallons,0.0
2630204,4718601,Fuel Oil (No. 2),2008-12-31 00:00:00,939.0,Gallons,1830.0
2630204,4718601,Fuel Oil (No. 2),2009-01-31 00:00:00,1095.0,Gallons,1996.0
