Property Name,Portfolio Manager ID,Property Use Name,Use Type,Gross Floor Area for Use,Gross Floor Area Units,Gross Floor Area Temporary Value? (Y/N)
"AK0000AA - FEDERAL BLDG, USCT",2999292,Office,Office,727348.0,Sq. Ft.,No
AK0000AB - USBS DALTON CACHE,20597,Border Station,Other - Public Services,17927.0,Sq. Ft.,No
AK0000AH - USBS ALCAN,2629904,Border Station,Other - Public Services,43162.0,Sq. Ft.,No
AK0001ZZ - ANCHORAGE FED BLDG,20600,Food Service,Office,611.0,Sq. Ft.,No
AK0001ZZ - ANCHORAGE FED BLDG,20600,General Office,Office,101183.0,Sq. Ft.,No
AK0001ZZ - ANCHORAGE FED BLDG,20600,Office Space - Vacant,Office,182.0,Sq. Ft.,No
AK0005AK - Ketchikan FB,20599,General Office,Office,39931.0,Sq. Ft.,No
AK0005AK - Ketchikan FB,20599,Office Space - Vacant,Office,2951.0,Sq. Ft.,No
AK0013ZZ - HURFF A. SAUNDERS FB-CTHS,2629908,OFFICE,Office,253598.0,Sq. Ft.,No
AK0013ZZ - HURFF A. SAUNDERS FB-CTHS,2629908,Office - Vacant,Office,8337.0,Sq. Ft.,No
AK0013ZZ - HURFF A. SAUNDERS FB-CTHS,2629908,Department of Homeland Security,Office,73887.0,Sq. Ft.,No
AK0029ZZ - FAIRBANKS FED BLDG,2629910,OFFICE,Office,198619.0,Sq. Ft.,No
AK0029ZZ - FAIRBANKS FED BLDG,2629910,Indoor Parking,Parking,,,
AK0029ZZ - FAIRBANKS FED BLDG,2629910,Office - Vacant,Office,1849.0,Sq. Ft.,No
AK0032AA - Anchorage Federal Building U.S. Courthouse Annex,2536762,Office Space,Office,72095.0,Sq. Ft.,No
AK0032AA - Anchorage Federal Building U.S. Courthouse Annex,2536762,Office Space - Vacant,Office,3194.0,Sq. Ft.,No
AK0514ZZ - PETERSBURG FED BLDG,2629911,OFFICE,Office,11318.0,Sq. Ft.,No
AK0526ZZ - USBS SKAGWAY,2629912,Border Station,Other - Public Services,5016.0,Sq. Ft.,No
AL0000AB - CAMPBELL FED BLDG & CTHSE,2629913,COURTHOUSE,Courthouse,399659.0,Sq. Ft.,No
AL0000AC - JOHNSON FED BLDG CTHSE,2385102,Courthouse,Courthouse,427480.0,Sq. Ft.,No
AL0004ZZ - ANNISTON FED BLDG & CTHSE,2629914,COURTHOUSE,Courthouse,19397.0,Sq. Ft.,No
AL0007ZZ - MOBILE US COURTHOUSE,2629915,COURTHOUSE,Courthouse,346691.0,Sq. Ft.,No
AL0011ZZ - VANCE FED BLDG & COURTHSE,2629916,COURTHOUSE,Courthouse,173996.0,Sq. Ft.,No
AL0019ZZ - DOTHAN FED BLDG & CRTHSE,2629917,COURTHOUSE,Courthouse,21224.0,Sq. Ft.,No
