0,Alaska
10,Alabama
22,Arkansas
31,Arizona
47,British Columbia
48,California
92,Colorado
135,Connecticut
141,District of Columbia (D.C.)
183,Delaware
184,Florida
209,Georgia
236,Hawaii
239,Iowa
245,Idaho
249,Illinois
272,Indiana
282,Ohio
283,Kansas
287,Kentucky
298,Louisiana
312,Massachusetts
325,Maryland
360,Maine
384,Michigan
403,Minnesota
417,Missouri
428,Mississippi
437,Montana
447,North Carolina
461,North Dakota
476,Nebraska
481,New Hampshire
486,New Jersey
497,New Mexico
511,Nevada
517,New York
584,Oklahoma
591,Oregon
602,Pennsylvania
617,Puerto Rico
622,Rhode Island
624,South Carolina
638,South Dakota
646,Tennessee
658,Texas
740,Utah
749,Virginia
766,Virgin Islands of the U.S.
768,Vermont
792,Washington
826,Wisconsin
832,West Virginia
844,Wyoming
